iter	RMSE
0	0.8150993567
1	0.8117214917
2	0.8085545286
3	0.8053891155
4	0.8022664919
5	0.7992837174
6	0.7964077868
7	0.7936777935
8	0.7909227273
9	0.7883624044
10	0.7859448708
11	0.7836973435
12	0.7813074278
13	0.7790175289
14	0.7768886463
15	0.7745779505
16	0.7724496521
17	0.7703781994
18	0.7683348949
19	0.7662994236
20	0.7643920093
21	0.7625853179
22	0.7608090456
23	0.7590998848
24	0.7574071647
25	0.7556900268
26	0.7541031022
27	0.7525051547
28	0.7509671774
29	0.7494739616
30	0.7480030577
31	0.746678838
32	0.7452784523
33	0.7438613785
34	0.7425111675
35	0.7412398123
36	0.7400458197
37	0.7389226157
38	0.7378434753
39	0.736763252
40	0.7356558093
41	0.7345602196
42	0.7334557844
43	0.7324167879
44	0.7314305136
45	0.7303875481
46	0.7294394253
47	0.7285480474
48	0.7276660361
49	0.7267596987
50	0.7258440187
51	0.7249783211
52	0.7241857024
53	0.7234183253
54	0.7225347897
55	0.7217526995
56	0.7209313951
57	0.7202284083
58	0.7195053223
59	0.71883857
60	0.7180556038
61	0.7174000721
62	0.7167720841
63	0.7160469163
64	0.7154016344
65	0.7147499546
66	0.7141943159
67	0.7135416405
68	0.7129447857
69	0.7122987532
70	0.7117034541
71	0.7111687288
72	0.7105926986
73	0.710019365
74	0.7094659233
75	0.7090008787
76	0.7085219193
77	0.7080858222
78	0.7075895709
79	0.707062865
80	0.706496552
81	0.7059693554
82	0.7053689963
83	0.7048617915
84	0.7044068759
85	0.7039368826
86	0.7034749388
87	0.7030593603
88	0.702583637
89	0.7020452087
90	0.7016158239
91	0.7012041125
92	0.7008101928
93	0.7004003205
94	0.700015554
95	0.6995664651
96	0.6991456344
97	0.6987374977
98	0.6983864323
99	0.698024266
100	0.6976701256
101	0.6972607965
102	0.6968569724
103	0.6964792005
104	0.6960722227
105	0.6956775718
106	0.6952556841
107	0.6949122278
108	0.6945003931
109	0.6941817917
110	0.6937701401
111	0.693449925
112	0.6931111521
113	0.6927410659
114	0.6924459977
115	0.6921100675
116	0.6917636136
117	0.6913821967
118	0.6910533786
119	0.6907559081
120	0.6904558528
121	0.6900922703
122	0.6898429674
123	0.6895692638
124	0.6892709977
125	0.6890166735
126	0.6887116445
127	0.6884257041
128	0.6881490608
129	0.687838826
130	0.6875358527
131	0.6872507129
132	0.6869471466
133	0.6867010191
134	0.6864213653
135	0.6861452501
136	0.6859086825
137	0.6855692815
138	0.6853153229
139	0.6851643211
140	0.6848987216
141	0.6845792678
142	0.6843345441
143	0.6840364305
144	0.6837724937
145	0.6834734418
146	0.6831939431
147	0.6830068983
148	0.6827336551
149	0.682518497
150	0.6822606253
151	0.6819606192
152	0.681698748
153	0.6814937576
154	0.6812630893
155	0.6810119231
156	0.6808273763
157	0.6805406158
158	0.6803717313
159	0.6801728565
160	0.6799661701
161	0.6797684805
162	0.6795498425
163	0.6793146448
164	0.6791229987
165	0.678867439
166	0.6786151609
167	0.6783729487
168	0.6781851601
169	0.6779778677
170	0.6777524514
171	0.6775326666
172	0.6773330936
173	0.6771502749
174	0.6769106766
175	0.6767688414
176	0.6765089362
177	0.6762298584
178	0.6760609594
179	0.6758932845
180	0.6757024321
181	0.6755214117
182	0.6753228962
183	0.6750873577
184	0.6748974322
185	0.6745815562
186	0.6743263376
187	0.6740822443
188	0.673855797
189	0.6736183163
190	0.6734542765
191	0.6732730829
192	0.6731350444
193	0.6729428193
194	0.6727672121
195	0.6726225266
196	0.6723877013
197	0.6722318633
198	0.6720014723
199	0.6717932954
200	0.6716254424
201	0.6714445746
202	0.6713095975
203	0.6711410315
204	0.6709860654
205	0.670786914
206	0.6706517589
207	0.6704887483
208	0.6703130909
209	0.6701355176
210	0.6700064578
211	0.669846986
212	0.6696592939
213	0.6694286796
214	0.6692650286
215	0.6690915166
216	0.6689630549
217	0.6687767828
218	0.6686720291
219	0.6685472813
220	0.6683276476
221	0.668180537
222	0.6680301686
223	0.667865374
224	0.667737363
225	0.6675774636
226	0.6673929572
227	0.6672943069
228	0.6671775474
229	0.6670743294
230	0.6669732263
231	0.6668352128
232	0.6666525182
233	0.6665214084
234	0.666364703
235	0.6661956198
236	0.6660644888
237	0.6658676751
238	0.6657625096
239	0.6656238778
240	0.6654183677
241	0.6653021518
242	0.665206086
243	0.6650521268
244	0.6649218506
245	0.664759067
246	0.6646108216
247	0.664445524
248	0.6642810364
249	0.6641474796
250	0.6640080963
251	0.663843063
252	0.6636705742
253	0.6635013342
254	0.6633650633
255	0.6631975196
256	0.6630654962
257	0.6629379184
258	0.6627879284
259	0.6626926973
260	0.6625336332
261	0.6623433381
262	0.6621706202
263	0.6620509027
264	0.6619204744
265	0.6618086088
266	0.6616899112
267	0.6615448358
268	0.6613937674
269	0.6612809576
270	0.6611506317
271	0.6610091831
272	0.6608621546
273	0.6607964795
274	0.6606316616
275	0.6605063207
276	0.660384242
277	0.6602724401
278	0.6601715916
279	0.6600666066
280	0.659966815
281	0.6598486662
282	0.6597461778
283	0.659630422
284	0.6595434703
285	0.6594274472
286	0.6592859766
287	0.6591741276
