iter	Passed	Remaining
0	23	23870
1	52	26137
2	75	25255
3	104	25905
4	121	24101
5	137	22851
6	153	21775
7	169	21010
8	186	20534
9	201	19994
10	219	19739
11	236	19493
12	255	19412
13	272	19220
14	292	19207
15	315	19374
16	338	19551
17	363	19810
18	386	19941
19	408	20011
20	430	20065
21	456	20296
22	478	20327
23	500	20341
24	522	20374
25	544	20394
26	566	20413
27	591	20550
28	617	20671
29	639	20673
30	660	20656
31	685	20751
32	711	20856
33	733	20844
34	755	20840
35	780	20899
36	804	20939
37	826	20933
38	850	20953
39	873	20955
40	894	20933
41	919	20967
42	941	20948
43	965	20984
44	989	21009
45	1013	21009
46	1036	21006
47	1059	21009
48	1082	21010
49	1105	21001
50	1129	21024
51	1153	21021
52	1175	21000
53	1197	20979
54	1220	20969
55	1242	20945
56	1264	20911
57	1285	20886
58	1308	20875
59	1334	20901
60	1356	20884
61	1378	20858
62	1400	20828
63	1423	20814
64	1446	20802
65	1469	20795
66	1491	20768
67	1513	20742
68	1535	20722
69	1559	20723
70	1586	20753
71	1612	20784
72	1638	20802
73	1661	20791
74	1684	20772
75	1709	20788
76	1733	20774
77	1755	20748
78	1779	20744
79	1804	20746
80	1826	20720
81	1848	20699
82	1871	20672
83	1893	20643
84	1915	20617
85	1938	20598
86	1960	20575
87	1982	20550
88	2005	20532
89	2028	20514
90	2051	20488
91	2072	20457
92	2099	20480
93	2122	20457
94	2144	20429
95	2166	20401
96	2188	20376
97	2212	20361
98	2236	20354
99	2258	20330
100	2280	20297
101	2301	20266
102	2323	20234
103	2348	20230
104	2369	20198
105	2392	20182
106	2414	20151
107	2440	20154
108	2464	20146
109	2487	20127
110	2509	20101
111	2531	20073
112	2553	20044
113	2578	20040
114	2606	20057
115	2632	20059
116	2656	20048
117	2683	20058
118	2709	20057
119	2734	20051
120	2762	20067
121	2785	20046
122	2808	20025
123	2833	20019
124	2859	20016
125	2884	20010
126	2907	19989
127	2932	19977
128	2956	19962
129	2978	19932
130	2999	19898
131	3021	19867
132	3044	19847
133	3066	19816
134	3090	19800
135	3112	19773
136	3137	19765
137	3161	19746
138	3183	19721
139	3209	19716
140	3235	19710
141	3259	19695
142	3284	19685
143	3307	19659
144	3330	19641
145	3355	19625
146	3377	19597
147	3400	19577
148	3423	19552
149	3446	19527
150	3467	19497
151	3490	19470
152	3512	19443
153	3535	19422
154	3562	19420
155	3590	19427
156	3613	19403
157	3636	19381
158	3658	19352
159	3681	19330
160	3705	19309
161	3728	19288
162	3751	19264
163	3773	19236
164	3797	19217
165	3821	19197
166	3843	19172
167	3865	19144
168	3888	19122
169	3911	19099
170	3933	19071
171	3957	19053
172	3980	19030
173	4004	19012
174	4031	19004
175	4055	18986
176	4078	18964
177	4102	18945
178	4123	18914
179	4145	18886
180	4168	18861
181	4191	18837
182	4213	18810
183	4237	18792
184	4258	18760
185	4280	18733
186	4302	18705
187	4327	18691
188	4351	18672
189	4374	18647
190	4396	18623
191	4418	18595
192	4444	18582
193	4466	18558
194	4489	18533
195	4511	18505
196	4532	18475
197	4554	18449
198	4579	18434
199	4604	18416
200	4628	18397
201	4650	18371
202	4674	18354
203	4697	18330
204	4722	18314
205	4745	18290
206	4768	18266
207	4790	18238
208	4812	18212
209	4835	18189
210	4856	18160
211	4877	18130
212	4899	18101
213	4923	18083
214	4947	18065
215	4970	18041
216	4992	18013
217	5014	17986
218	5035	17957
219	5059	17937
220	5081	17913
221	5103	17884
222	5129	17874
223	5155	17859
224	5180	17842
225	5202	17817
226	5224	17789
227	5245	17760
228	5268	17737
229	5290	17712
230	5312	17686
231	5335	17663
232	5356	17633
233	5381	17617
234	5404	17591
235	5426	17566
236	5448	17540
237	5470	17515
238	5491	17485
239	5512	17456
240	5534	17431
241	5556	17402
242	5581	17386
243	5604	17365
244	5628	17345
245	5653	17328
246	5675	17301
247	5701	17287
248	5724	17266
249	5746	17238
250	5768	17212
251	5789	17183
252	5813	17165
253	5836	17142
254	5859	17117
255	5881	17092
256	5902	17065
257	5925	17041
258	5947	17014
259	5969	16991
260	5991	16964
261	6014	16942
262	6042	16931
263	6063	16903
264	6085	16879
265	6109	16859
266	6131	16833
267	6153	16807
268	6176	16784
269	6197	16757
270	6221	16736
271	6246	16717
272	6270	16697
273	6296	16684
274	6321	16665
275	6347	16651
276	6369	16624
277	6390	16598
278	6413	16574
279	6442	16566
280	6469	16552
281	6492	16530
282	6515	16506
283	6537	16481
284	6561	16461
285	6588	16446
286	6612	16428
287	6634	16402
288	6658	16382
289	6686	16369
290	6712	16353
291	6734	16328
292	6756	16303
293	6778	16277
294	6800	16251
295	6824	16230
296	6846	16205
297	6868	16179
298	6893	16160
299	6918	16142
300	6944	16126
301	6966	16101
302	6988	16075
303	7013	16056
304	7036	16034
305	7058	16008
306	7082	15987
307	7107	15969
308	7129	15943
309	7151	15917
310	7176	15897
311	7197	15872
312	7220	15847
313	7241	15819
314	7264	15797
315	7285	15769
316	7313	15756
317	7337	15737
318	7360	15712
319	7382	15686
320	7403	15660
321	7425	15634
322	7447	15610
323	7469	15585
324	7492	15560
325	7515	15537
326	7538	15513
327	7558	15486
328	7580	15460
329	7606	15443
330	7628	15417
331	7649	15391
332	7673	15369
333	7695	15345
334	7717	15320
335	7741	15298
336	7763	15273
337	7785	15248
338	7807	15223
339	7827	15195
340	7850	15172
341	7871	15145
342	7894	15120
343	7916	15095
344	7938	15071
345	7964	15054
346	7988	15032
347	8009	15007
348	8032	14984
349	8053	14956
350	8074	14930
351	8097	14906
352	8119	14882
353	8143	14861
354	8165	14836
355	8189	14813
356	8212	14791
357	8234	14767
358	8255	14740
359	8278	14717
360	8298	14689
361	8321	14666
362	8344	14643
363	8365	14615
364	8388	14594
365	8411	14570
366	8434	14547
367	8456	14522
368	8477	14496
369	8499	14472
370	8521	14447
371	8543	14422
372	8564	14397
373	8590	14378
374	8613	14356
375	8638	14335
376	8661	14313
377	8684	14290
378	8705	14264
379	8729	14243
380	8750	14216
381	8771	14191
382	8794	14167
383	8817	14145
384	8845	14129
385	8869	14109
386	8895	14090
387	8920	14069
388	8942	14046
389	8968	14027
390	8992	14006
391	9016	13984
392	9039	13961
393	9061	13937
394	9087	13919
395	9110	13895
396	9133	13872
397	9156	13849
398	9179	13827
399	9202	13804
400	9225	13780
401	9247	13756
402	9270	13733
403	9297	13715
404	9319	13691
405	9343	13669
406	9369	13651
407	9394	13631
408	9416	13606
409	9439	13583
410	9463	13562
411	9487	13539
412	9510	13517
413	9535	13496
414	9557	13472
415	9584	13454
416	9605	13429
417	9628	13406
418	9651	13382
419	9672	13357
420	9694	13332
421	9716	13308
422	9739	13284
423	9764	13264
424	9785	13239
425	9808	13215
426	9830	13191
427	9851	13165
428	9871	13138
429	9893	13115
430	9916	13091
431	9938	13067
432	9963	13046
433	9984	13021
434	10005	12995
435	10030	12975
436	10053	12952
437	10075	12927
438	10100	12907
439	10122	12882
